"english","tulu"
"Amnesty International's Global Society for Threatened People's Rights","ಆರ್ ಆಮ್ನೆಸ್ಟಿ ಇಂಟರ್ನ್ಯಾಷನಲ್ ಬೊಕ್ಕ ಸೊಸೈಟಿ ಫಾರ್ ಥ್ರೆಟೆನ್ಡ್ ಪೀಪಲ್ಸ್ ಡ್ ಬೇಲೆ ಮಲ್ತೆರ್"
"Take a shortcut to Samalkot Talu  which is located in Aranya APPE Andhra Pradesh's Ghodavari district.","ಅರೆನ ಅಪ್ಪೆ ಆಂಧ್ರಪ್ರದೇಶದ ಪೂರ್ವ ಗೋದಾವರಿ ಜಿಲ್ಲೆದ ಸಮಾಲ್ಕೋಟ್ ಊರುದ ತೆಲುಗು ಕುಟುಂಬೊಗು ಸೇರ್ದಿನಕುಲು"
"Left and American joint venture firm Poirier  Alp ArcelorMittal  United States Chartered Bank TV Company Ltd.","೧೯೯೧ಡ್  ಬೈ ಅಮೇರಿಕ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನೊಗು ಪೋಯೆರ್  ಅಲ್ಪ ಆರ್ ಕೆಲವು ಅಮೆರಿಕನ್ ಚಿತ್ರೊಲೆಡ್ ಬೊಕ್ಕ ಟಿವಿ ಕಾರ್ಯಕ್ರಮೊಲೆಡ್ ತೋಜಿದ್ ಬತ್ತೆರ್  ಉಂದೆಟ್ ಜನಪ್ರಿಯ ಸೋಪ್ ಒಪೆರಾ ಗೈಡಿಂಗ್ ಲೈಟ್ ಸೇರ್ದ್ ಉಂಡು  ಉಂದೆಟ್ ಆರ್ ಮೆಲಿನಾ ಕನಕರೆಡೆಸ್ ನ ಒಟ್ಟುಗು ನಟನೆ ಮಲ್ತೆರ್"
"For further details  please refer to the following booklet and booklet link available on KAGETRORA ARENA ELL MEGUAGYAPLAY.","ಮುಂದುವರಿಕೆಡ್  ಗಿಂಗಾ ಡೆನ್ಸೆಟ್ಸು ವೀಡ್  ಕುರೊಟೊರಾನ ಮಗೆ  ಕಗೆಟೊರಾ  ಅರೆನ ಎಲ್ಯ ಮೆಗ್ಯೆಪಲಯನಾಕ್ಲು ಹಾರುಟೊರಾ ಬುಕ್ಕೊ ನೊಬುಟೊರಾ  ಬುಕ್ಕೊ ಸೋದರ ಸಂಬಂಧಿಲು ಡೋಡೊ  ಬುರು  ಶೋಜಿ ಬುಕ್ಕೊ ಶಿಗುರೆ ನಕುಲೆನೊಟ್ಟುಗು ಪ್ರಮುಖ ಪಾತ್ರೊನ್ ಮಲ್ಪುವೆರ್"
"Look at the cultural background and the meaning of the word panda along with the term panda.","ಸಂಸ್ಕೃತ ಬಾಸೆಡ್ ಗವ್ಯ ಪನ್ನಗ ಗೋವು ಪಂಡ ಪೆತ್ತಡ್‍ದ್ ಸಿಕ್ಕುನ ಸೊತ್ತು ಪನ್ಪಿನ ಅರ್ತ ಉಂಡು"
"At the start of the flight  the pilot and co-pilot of the train returned to their respective positions with a red crescent rackel engine.","ವ್ಯಂಜನೊಲೆ ಜತೆಟ್ ಸೇರೊನುನಗ ರಡ್ಡ್ ಕಿನ್ಯ ರೇಕೆಲೆನ್ ವ್ಯಂಜನೊದ ತಿರ್ತ್ ಅತ್ತಂಡ ಪಕ್ಕೊಡು ಬರೆಪುನೆಡ್ದಾವರೊ ಉಂದು ಅಕ್ಷರೊ ಆದ್ ತೋಜಿದ್ ಬರ್ಪುಂಡು"
"Three years ago  a huge group of people gathered in front of the Gandhi statue in Gandhinagar to pay tribute to Guru Nanak Dev Ji ( Gurudev Ji ) on the occasion of Guru Nanak Jayanti. [ 1 ] [ 2 ] [ 3 ] [ 4 ] [ 5 ] [ 6 ] [ 7 ] [ 8 ] [ 9 ] [ 10 ] [ 11 ] [ 12 ] [ 13 ] [ 14 ] [ 15 ] [ 16 ] [ 17 ]","ನೂನನ್ ಬೋದಿಶ್‌ದುಲಾಯ ಪಾಶ್ಚಿಮಾತ್ಯೊ ಉಪ-ಗುಂಪುನು ಮನಂಗೆ/ನ್ಯೆಶಾಂಗ್ಟೆ ಬುಕ್ಕೊ ನಾರ್-ಫು ಬುಕ್ಕೊ ಗುರುಂಗಿಕ್ (ಗುರುಂಗ್  ಥಕಲಿ ಬುಕ್ಕೊ ಚಾಂಟ್ಯಾಲ್ ಸೇರೊನ್‌ನ) ಪಂಡ್‌ದ್ ಉಲ್ಲೇಕಿಸದೆರ್"
"Use the Royal Standard of Norway Ponds today with a detailed description of the national standard.","ನಾರ್ವೆದ ರಾಷ್ಟ್ರೀಯ ಧ್ವಜ ಪಂಡ್ದ್ ವರ್ಣನೆ ಮಲ್ಪುನ ಸುರುತ ಗೊತ್ತಾಯಿನ ಧ್ವಜ ಇನಿ ರಾಯಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಆಫ್ ನಾರ್ವೆ ಪಂಡ್ದ್ ಬಳಕೆ ಆಪುಂಡು"
"Yes  the government of India has taken a very bold step in the field of agriculture  especially in the area of agriculture and allied sectors like agriculture  animal husbandry  forestry  fisheries  etc.","ಅಯೆ ಸೃಷ್ಟಿಕರ್ತೆ ಆಯಿನ ಬ್ರಹ್ಮದೇವೆರೆನೇ ಭೂಮಿಗ್ ಜತ್ತ್ ದ್ ಬರಪುನಂಚ ಮಲ್ತೆ  ಬ್ರಹ್ಮೆ ಬತ್ತಿ ಬುಕ್ಕೊ ಎಂಕ್ ಸಾವೇ ಇಜ್ಜಂದಿನ ಅಮರತ್ವದ ವರನ್ ಕೊರೊಡು ಪಂಡ್‍ದ್ ಬ್ರಹ್ಮಡ ಕೇಂಡೊನುವೆ"
"In situ economics it provides a general analysis of the business cycle.","ಸ್ಥೂಲ ಅರ್ಥಶಾಸ್ತ್ರ ಇದು ವ್ಯಾಪಾರ ಆವರ್ತ (ಬಿಜಿನೆಸ್ ಸೈಕಲ್) ಸಾಮಾನ್ಯ ವಿಶ್ಲೇಷಣೆನ್ ಸೆರಾತ್ ಇಪ್ಪುಂಡು"
"in / author / 10217 पाकिस्थान में शुक्षत संग्रहोलेन साथने मालतेर : उत्तर के लिए ( left to right ) and पकिश्तुना मध्ये बारुद्धकुलनाया जाहता है ।","in/author/10217 ಉರ್ದು ಸಾಹಿತ್ಯೊಗು ಕೊಡುಗೆ ಆರ್ ನಾಲ್ ಸಣ್ಣ ಕತೆತ ಸಂಗ್ರಹೊಲೆನ್ ಸಂಪಾದನೆ ಮಲ್ತೆರ್: ಉರ್ದು ಕತೆಕುಲು (ಶ್ರೀಷ್ಠಿ  ೨೦೦೨)  ಪಾಕಿಸ್ತಾನದ ಮಹಿಳಾ ಬರವುದಕುಲೆನ ಆಯ್ಕೆ ನೀದರ್ ನೈಟ್ ನಾರ್ ಡೇ (ಹಾರ್ಪರ್ ಕಾಲಿನ್ಸ್  ೨೦೦೭)  ನ್ಯೂ ಉರ್ದು ಬರವುಲು: ಫ್ರಮ್ ಇಂಡಿಯಾ & ಪಾಕಿಸ್ತಾನ (ವೆಸ್ಟ್ ಲ್ಯಾಂಡ್  ೨೦೧೩)  ಬೊಕ್ಕ ಪಿಜನ್ಸ್ ಆಫ್ ದ ಡೋಮ್ಸ್: ಸ್ಟೋರಿಸ್ ಆಫ್ ಕಮ್ಯುನಿಯಲಿಸಂ (ಎನ್  ೨೦೦೫); ದೆಹಲಿದ ಕಮ್ಮಿ ಗೊತ್ತಾಯಿನ ಸ್ಮಾರಕೊಲೆನ ಬಗ್ಗೆ ಒಂಜಿ ಪ್ರಬಂಧೊಲೆನ ಸಂಗ್ರಹ  ಅದೃಶ್ಯ ನಗರ (ನಿಯೋಗಿ  ೨೦೦೮  ಪರಿಷ್ಕೃತ ಮೂಜನೆ ಆವೃತ್ತಿ ೨೦೧೧); ರಡ್ಡ್ ಸಹ-ಲೇಖಕೆರೆನ ಪುಸ್ತಕೊಲು  ಪಾರ್ಟ್ನರ್ಸ್ ಇನ್ ಫ್ರೀಡಮ್: ಜಾಮಿಯಾ ಮಿಲಿಯಾ ಇಸ್ಲಾಮಿಯಾ (ನಿಯೋಗಿ  ೨೦೦೬) ಬೊಕ್ಕ ಜರ್ನಿ ಟು ಎ ಹೋಲಿ ಲ್ಯಾಂಡ್: ಎ ಪಿಲ್ಗ್ರಿಮ್ಸ್ ಡೈರಿ (ಒಯುಪಿ  ೨೦೦೯)"
"Where are you? - Apuji","ಉಂದು ದೀವೆರೆ ಆಪುಜಿ"
"On the occasion of Republic Day  Prime Minister Narendra Modi paid tributes to Mahatma Gandhi on his birth anniversary.","ಸಾರಾಂಶೊ ಕಿಮ್ನಾರಾ ರಾಜನ ಏಲ್ ಜನ ಪೊಣ್ಣು ಜೋಕುಲೆನೆಟ್ ಅಕೇರಿದ ಮಗಲ್ ಮನೋಹರ ಕೈಲಾಸ ಪರ್ವತಡ್ ವಾಸ ಮನ್ತೊಂದು ಉಪ್ಪುವಲ್"
"If this is the case for you  please participate in the meeting.","ಇದು ನಿಮಗೆ ಅನ್ವಯಿಸಿದರೆ  ದಯವಿಟ್ಟು ಸಮೀಕ್ಷೆಯಲ್ಲಿ ಭಾಗವಹಿಸಿ"
"Kontakt Punjay Vanginal Backgrounder Seri Rokyek is a full-back corner defender who plays as an attacking midfielder.","ಕಾಂತಣ್ಣ ಪೂಂಜೆ ಬಂಜಿನಾಳೆಗ್ ಬಯಕೆಗ್ ಸೀರೆ  ರವಿಕೆ  ಪೂ  ಬಂಗಾರ್ ಕನಯೆರೆ ಪದಂಗಡಿಗ್ ಬತ್ತಿನಾಯೆ ಪಿರ ಪೋನಗ ಸೂಳೆ ಸಿದ್ದುನ ಇಲ್ಲಗ್ ಪೊಗ್ಗುವೆ"
"Karpu Pandu did not go to Kalda for bathing nor did he go to Badda for breakfast after lunch and did not come to Todda for lunch.","ಕರ್ಪು ಪಂಡ ದುಂಬುದ ಕಾಲೊಡು ಕಾಡ್‍ದ ಮಲ್ಲ ಮೃಗೊಕುಲು ಊರುಗು ಬತ್ತ್ ದ್ ಉಪದ್ರ ಮಲ್ಪುನಗ ಅವೆನ್ ಪತ್ಯೆರೆ ಬೋಡಾದ್ ಮಣ್ಣ್‌ಡ್ ತೋಡ್‍ದ್ ಮಾಲ್ದುನಾ ಮಲ್ಲ ಗುಂಡಿ"
"For more details  please refer to the official website of the Ministry of Home Affairs  Government of India : https : / / www.governance.gov.in / jhugjal-gadda-da-mandi-baji-shastragad-mo-nege-bal-dipina-kat-ndapad-bukk.","ಕಾಲಕ್ರಮೇಣ ಈ ರೀತಿರಿವಾಜಿಲು ಬದಲಾದ್ ಮದಿಮೆದ ದುಂಬುದ ದಿನ ಜುಜಾಲ್ ಗಡ್ಡ ದೆತ್ದ್  ಮದಿಮೆದಾನಿ ಕಾಂಡೆ ಬಜೀ ಶಾಸ್ತ್ರೊಗಾದ್ ಮೋನೆಗ್ ಬಾಲ್ ದೀಪಿನ ಕಟ್ಟ್ ನಡಪಾದ್ ಬುಕ್ಕೊ ಮೋಂದೆಲ್ ದೇಸೆದ ಕಟ್ಟ್ ನಡಪಾವೊಂದು ಬತ್ತೆರ್ ಪಂಡ್ದ್ ತೋಜುಂಡು"
"KAZKUTO TARIK SEPTEMBER left-right with KARAVALI Wikimedians","ಕರಾವಳಿ ವಿಕಿಮೀಡಿಯನ್ನೆರೆ ಸಂಗೊತ ಕಜ್ಜಕೂಟೊ ತಾರೀಕ್ ಸೆಪ್ಟೆಂಬರ್ ೦೨-೦೩  ೨೦೧೭ನೆ ದಾನಿ"
"Orbiter with a full circle gate in front of the display to provide a high-resolution view of the screen.","ಪಾತ್ರೊಲೆನ ಶೂನ್ಯತೆನ್ ವರ್ಣನೆ ಮಲ್ಪೆರೆ ಉಪಯೋಗ ಮಲ್ಪುನ ಚಿತ್ರ ಗಟ್ಟಿ ಪಂಡ್ದ್ ಲಾ ಆರ್ ಬರೆತೆರ್"
"On many occasions  they have been extremely helpful.","ಹಬ್ಬ ಹರಿದಿನಗಳಲ್ಲಿ ಅವರು ಕಡ್ಡಾಯವಾಗಿ ಸಸ್ಯಹಾರಿಗಳಾಗಿದ್ದಾರೆ"
"Panjurli Dwiwedi Beti Purdurulo Anuppu Panjurili Kuppe Panjuruli Warner Panjureli Kukatpatti Panjoorli Jugaad Panjarli Kunti Pulipunji Kunti","ಪಂಜುರ್ಲಿ ದೈವೊದ ಬೇತೆ ಬೇತೆ ಪುದರುಲು ಅಣ್ಣಪ್ಪ ಪಂಜುರ್ಲಿ ಕುಪ್ಪೆ ಪಂಜುರ್ಲಿ ವರ್ನಾರ ಪಂಜುರ್ಲಿ ಕುಪ್ಪೆಟ್ಟಿ ಪಂಜುರ್ಲಿ ಜಾಗೆದ ಪಂಜುರ್ಲಿ ಕುಣಿತಲು ಪಿಲಿಪಂಜಿ ಕುಣಿತ"
"- ( Hibiscus Amotianus ) Dr. Puthar Malvacea  the legendary scientist  here is the Hibuscus plant laptop.","-(ಹೈಬಿಸ್ಕಸ್ ಅಮೊಟಿಯನಸ್) ದಾಸವಾಳ ಪೂ ವೈಜ್ಞಾನಿಕ ಪುದರ್ Malvaceae  ಇಂಗ್ಲಿಷ್‍ಡ್ Hibiscus ಪಂದ್ ಲೆಪ್ಪುವೆರ್"
"Discussion panel discussion","ಪ್ರಸಾದೊ ಸೌತಡ್ಕದ ಪಂಚಗಜ್ಜಾಯ ಪ್ರಸಾದ ಪ್ರಸಿದ್ಧ"
"Follow the path of Kudlug and Alpert.","ಕುಡ್ಲಗ್ ಬತ್ತ್‌ದ್ ಅಲ್ಪರ್ದ್ ಪುತ್ತೂರು ಮಾರ್ಗೊಡು ೨೮ಕಿ"
"It is also recommended to enhance personal development and positive qualities along with attaining social equilibrium.","ಸಮಾಜದೆಡೆಗೆ ಸಮತೂಕದ ದೂರದೃಷ್ಟಿ ಅಳವಡಿಸಿಕೊಳ್ಳುವದರೊಂದಿಗೆ ವ್ಯಕ್ತಿತ್ವ ನಿರ್ಮಾಣ ಮತ್ತು ನಾಯಕತ್ವ ಗುಣಗಳನ್ನು ಬೆಳೆಸಿಕೊಳ್ಳಲು ಪ್ರೋತ್ಸಾಹಿಸುವುದು"
"KARKOTKAN RAKSHAN MAKES","ಕಾರ್ಕೋಟಕನ್ ರಕ್ಷಣೆ ಮಲ್ಪುವೆ"
"For the development of the Norwegian culture  the book of Norman Nordquist was published by the Social Networking Institute ( NSD ) in Stockholm  Sweden. < ref name = "" http : / / en.wikipedia.org / wiki / Social networking "" > < / ref >","ನಾರ್ವೆದ ವಾಸ್ತುಶಿಲ್ಪದ ಪ್ರವೃತ್ತಿಲು ಶತಮಾನೊಲೆಡ್ದ್ ನಾರ್ವೆಡ್ ರಾಜಕೀಯ ಬುಕ್ಕೊ ಸಾಮಾಜಿಕ ಬದಲಾವಣೆಲೆಗ್ ಸಮಾನಾಂತರವಾದ್ ಉಂಡು"
"Dubbagh Poirier with a chance to book a ride","ಬುಕ್ಕೊ ಮೇರ್ ಎಡ್ಡೆ ಅವಕಾಶೊನ್ ನಾಡೊಂದು ದುಬೈಗ್ ಪೋಯೆರ್"
